iter	RMSE
0	11178.024
1	10374.69213
2	9698.090093
3	9041.507211
4	8461.707052
5	7951.871451
6	7518.207104
7	7140.909922
8	6776.225326
9	6454.986554
10	6158.361767
11	5911.359961
12	5698.152244
13	5540.559952
14	5386.636733
15	5264.379135
16	5146.310366
17	5049.349943
18	4976.14321
19	4890.241465
20	4825.531852
21	4771.593322
22	4725.983223
23	4687.523444
24	4652.469506
25	4620.00792
26	4584.837535
27	4556.052833
28	4533.235445
29	4514.977412
30	4497.924459
31	4482.687431
32	4470.434065
33	4458.096371
34	4447.536632
35	4436.634738
36	4423.592846
37	4414.933575
38	4410.738465
39	4403.575139
40	4394.569846
41	4388.624161
42	4384.629123
43	4378.478337
44	4374.707746
45	4370.204081
46	4363.492654
47	4359.194866
48	4351.468473
49	4346.81323
