iter	RMSE
0	11365.87851
1	11029.50173
2	10695.72132
3	10367.17493
4	10050.8394
5	9794.370662
6	9530.225434
7	9291.070979
8	9035.608299
9	8824.727888
10	8618.637946
11	8401.110124
12	8207.734256
13	8020.156766
14	7846.87856
15	7666.622443
16	7501.811454
17	7338.843351
18	7195.145096
19	7062.143648
20	6919.523184
21	6791.053584
22	6664.460397
23	6541.305668
24	6429.930814
25	6320.670669
26	6230.358971
27	6133.811679
28	6051.055564
29	5964.441326
30	5875.915843
31	5792.978404
32	5710.94547
33	5637.452268
34	5580.526437
35	5514.979361
36	5458.094455
37	5399.598453
38	5356.840133
39	5299.598246
40	5255.156229
41	5208.987712
42	5170.083701
43	5130.046902
44	5091.525275
45	5052.69323
46	5022.846496
47	4992.536247
48	4963.376459
49	4933.289039
50	4904.994857
51	4882.257099
52	4855.561312
53	4835.091747
54	4816.982232
55	4799.444892
56	4780.395954
57	4762.963286
58	4745.646154
59	4730.190229
60	4716.420758
61	4701.389948
62	4687.433325
63	4674.673886
64	4666.230345
65	4655.725061
66	4646.688043
67	4637.096141
68	4626.966662
69	4616.814135
70	4606.15704
71	4596.933975
72	4588.404438
73	4581.865308
74	4574.420683
75	4568.872618
76	4561.771071
77	4554.486245
78	4548.855199
79	4544.121964
80	4539.030029
81	4533.462432
82	4527.397084
83	4521.04014
84	4516.285249
85	4512.432333
86	4508.36254
87	4504.587828
88	4501.99069
89	4496.968566
90	4494.212276
91	4489.266883
92	4485.790231
93	4482.194207
94	4479.292339
95	4476.203513
96	4473.297697
97	4470.136184
98	4466.194157
99	4463.45197
100	4461.573466
101	4458.595367
102	4456.975735
103	4455.029997
104	4452.996246
105	4451.581669
106	4449.852292
107	4445.841201
108	4443.213461
109	4440.673355
110	4440.017417
111	4438.302739
112	4436.234163
113	4434.167174
114	4431.888384
115	4430.756708
116	4427.853613
117	4426.045085
118	4422.462998
119	4420.409205
120	4419.438459
121	4418.086583
122	4416.703851
123	4414.953571
124	4411.333317
125	4410.226948
126	4408.658559
127	4406.851264
128	4405.554105
129	4404.731355
130	4402.347571
131	4401.384516
132	4401.012308
133	4400.113463
134	4398.91971
135	4397.022659
136	4395.549387
137	4394.683603
138	4393.742714
139	4392.102448
140	4390.403955
141	4388.924845
142	4387.337999
143	4386.464929
144	4385.224846
145	4385.150371
146	4383.315594
147	4381.099825
148	4380.010871
149	4380.004019
150	4379.027732
151	4378.03368
152	4375.968712
153	4374.961396
154	4374.293487
155	4372.924058
156	4372.113958
157	4370.159871
158	4369.569469
159	4367.810092
160	4365.938354
161	4363.64441
162	4362.781643
163	4362.143737
164	4358.858033
165	4357.110678
166	4355.900217
167	4352.644152
168	4350.317732
169	4348.679975
170	4347.714714
171	4346.586159
172	4344.077387
173	4344.051366
174	4343.636475
175	4341.909693
176	4340.950008
177	4339.712658
178	4338.563236
179	4337.760126
180	4337.1095
181	4335.261879
182	4333.432065
183	4331.086469
184	4328.451539
185	4326.453787
186	4325.995021
187	4325.414623
188	4324.087369
189	4322.996674
190	4320.14402
191	4319.388683
192	4318.881496
193	4318.75847
194	4316.066314
195	4313.542408
196	4312.661299
197	4311.929374
198	4309.743687
199	4307.913103
200	4305.632011
201	4303.632308
202	4302.819171
203	4301.567561
204	4299.654966
205	4299.287255
206	4297.157605
207	4295.228168
208	4294.107058
209	4292.690827
210	4290.758604
211	4290.443604
212	4290.139663
213	4288.217743
214	4286.459775
215	4284.038157
216	4282.768248
217	4281.542143
218	4280.859901
219	4279.574038
220	4279.020406
221	4276.792516
222	4276.202243
223	4275.669457
224	4274.954828
225	4272.976953
226	4270.909751
227	4269.113527
228	4268.852507
229	4268.355924
230	4268.044164
231	4267.495663
232	4265.72867
233	4265.476921
234	4265.022121
235	4264.221609
236	4263.395684
237	4262.307318
238	4260.999258
239	4260.523102
240	4259.87082
241	4259.604298
242	4257.771329
243	4256.707653
244	4254.466415
245	4252.37291
246	4250.662578
247	4249.385421
248	4248.282339
249	4247.022121
250	4245.930522
251	4244.748156
252	4244.53364
253	4244.149414
254	4243.083363
255	4242.13032
256	4241.949468
257	4240.778484
258	4239.611048
259	4238.176997
260	4237.143362
261	4236.572692
262	4235.678545
263	4233.759795
264	4233.568669
265	4232.796615
266	4231.204934
267	4230.973924
268	4229.327843
269	4229.104852
270	4227.000996
271	4225.554229
272	4224.527667
273	4223.450477
274	4222.577405
275	4220.97406
276	4220.63598
277	4219.816994
278	4219.521436
279	4219.038458
280	4218.34013
281	4217.348669
282	4217.142925
283	4216.4758
284	4215.714322
285	4214.988595
286	4213.43329
287	4211.621773
288	4211.450501
289	4211.288745
290	4211.064538
291	4209.667226
292	4209.017797
293	4208.491334
294	4206.566312
295	4204.399567
296	4202.678316
297	4202.39479
298	4200.480544
299	4200.208854
300	4200.00468
301	4199.752661
302	4198.47826
303	4196.879605
304	4196.177384
305	4195.992948
306	4195.684019
307	4194.714769
308	4194.102512
309	4193.931769
310	4193.147451
311	4192.960561
312	4192.074362
313	4191.526558
314	4189.856686
315	4189.053521
316	4188.161525
317	4186.55159
318	4186.368592
319	4186.185722
320	4184.718127
321	4184.13118
322	4182.592848
323	4182.315789
324	4182.119695
325	4181.980947
326	4181.140724
327	4180.946931
328	4180.789998
329	4180.23356
330	4178.649058
331	4177.259965
332	4177.09141
333	4176.18289
334	4175.069934
335	4174.298547
336	4174.122165
337	4173.058143
338	4172.266123
339	4171.503922
340	4171.322233
341	4171.038419
342	4170.333917
343	4168.281117
344	4166.750068
345	4165.658199
346	4164.56102
347	4164.210544
348	4164.051099
349	4162.506213
350	4161.697115
351	4159.770483
352	4159.418146
353	4158.618614
354	4157.831719
355	4157.552336
356	4156.219761
357	4154.580055
358	4153.730677
359	4153.561935
360	4152.4579
361	4151.385812
362	4150.971818
363	4149.739699
364	4148.308176
365	4146.884142
366	4146.748872
367	4146.042735
368	4144.279355
369	4143.389573
370	4143.264463
371	4141.784701
372	4140.83338
373	4139.789569
374	4139.366962
375	4137.395488
376	4136.052287
377	4134.953285
378	4133.531413
379	4132.098777
380	4131.814527
381	4131.584948
382	4131.471796
383	4130.391962
384	4129.912055
385	4128.221495
386	4126.703414
387	4126.065119
388	4124.913927
389	4123.643587
390	4121.547976
391	4120.230506
392	4119.341112
393	4119.244446
394	4119.099456
395	4118.941186
396	4117.452699
397	4116.081167
398	4115.516716
399	4114.979253
400	4114.811185
401	4113.448571
402	4112.682172
403	4112.155737
404	4111.783762
405	4111.581544
406	4111.132389
407	4109.613545
408	4108.140481
409	4108.051963
410	4106.769218
411	4105.729939
412	4104.879734
413	4104.097569
414	4103.956991
415	4103.418552
416	4102.324576
417	4101.007476
418	4099.446692
419	4098.979906
420	4097.400163
421	4097.26772
422	4096.832969
423	4096.621135
424	4096.343725
425	4094.435707
426	4093.247058
427	4092.25513
428	4091.592907
429	4090.654065
430	4089.915316
431	4089.717851
432	4089.348599
433	4088.228591
434	4088.136561
435	4087.102084
436	4087.00799
437	4085.26549
438	4083.58351
439	4082.041376
440	4080.992842
441	4079.877967
442	4079.750171
443	4078.792513
444	4078.682792
445	4077.684525
446	4077.572965
447	4076.793183
448	4076.593962
449	4076.453006
450	4075.616687
451	4075.144852
452	4074.518989
453	4074.033584
454	4073.126487
455	4072.662146
456	4071.732187
457	4071.360462
458	4069.829024
459	4069.45014
460	4069.337893
461	4067.210988
462	4066.30123
463	4065.208349
464	4063.485952
465	4063.058423
466	4061.924951
467	4060.517834
468	4060.419247
469	4059.419209
470	4059.293408
471	4058.753007
472	4056.815609
473	4056.248657
474	4056.157291
475	4055.363257
476	4054.932324
477	4053.541717
478	4052.726255
479	4051.371765
480	4051.144164
481	4050.551547
482	4050.131526
483	4049.918612
484	4049.50933
485	4047.448276
486	4045.615194
487	4044.023686
488	4043.376423
489	4042.996717
490	4041.369011
491	4041.317239
492	4040.845099
493	4040.753619
494	4038.805709
495	4037.697798
496	4036.968405
497	4036.173138
498	4035.660798
499	4034.812598
500	4033.674889
501	4032.902905
502	4032.53034
503	4031.522543
504	4030.512289
505	4029.424673
506	4028.460538
507	4027.706912
508	4027.006886
509	4026.938781
510	4026.370612
511	4025.706238
512	4025.605724
513	4025.544774
514	4025.477557
515	4025.384158
516	4025.327012
517	4025.244232
518	4025.183309
519	4024.423462
520	4024.159911
521	4022.668552
522	4022.201387
523	4021.483341
524	4020.486253
525	4018.519954
526	4017.541084
527	4016.423894
528	4016.348629
529	4016.024708
530	4014.210681
531	4013.595527
532	4012.699875
533	4012.512905
534	4011.066106
535	4010.727662
536	4009.424109
537	4008.490284
538	4007.83136
